t,tau_cmd,tau_meas,q,dq
5.254328048,0.894825668,0.778999984,-0.122173049,-3.630284786
5.264945361,0.926627448,0.722000003,-0.157079637,-3.228859186
5.275913630,0.958787343,0.778999984,-0.174532920,-2.809980154
5.286264557,0.988469372,0.778999984,-0.191986218,-2.391101122
5.296757480,1.017875740,0.893000007,-0.209439516,-1.954768777
5.307565357,1.047424514,0.874000013,-0.209439516,-1.535889745
5.318288881,1.075978964,0.911999941,-0.209439516,-1.082104087
5.328819872,1.103260274,0.987999976,-0.209439516,-0.698131680
5.339471957,1.130069026,1.006999969,-0.209439516,-0.366519153
5.350477207,1.156915776,1.044999957,-0.209439516,-0.069813170
5.361623807,1.183205110,1.101999998,-0.191986218,0.157079637
5.372415521,1.207772989,1.082999945,-0.191986218,0.383972436
5.382871334,1.230728974,1.120999932,-0.191986218,0.593411922
5.393280534,1.252738484,1.120999932,-0.174532920,0.785398185
5.403773195,1.274056755,1.159000039,-0.157079637,0.977384388
5.414335373,1.294621448,1.197000027,-0.139626339,1.151917338
5.424880976,1.314243794,1.234999895,-0.122173049,1.343903542
5.435274163,1.332679365,1.254000068,-0.104719758,1.518436432
5.445787066,1.350402233,1.273000002,-0.087266460,1.692969322
5.456466054,1.367439894,1.292000055,-0.052359879,1.867502332
5.467420439,1.383893431,1.329999924,-0.034906585,2.059488535
5.477763358,1.398466043,1.329999924,0.000000000,2.216568232
5.488312284,1.412355508,1.292000055,0.000000000,2.391101122
5.498906452,1.425305441,1.329999924,0.034906585,2.583087206
5.509282661,1.437009568,1.368000031,0.069813170,2.757620335
5.519762375,1.447838532,1.406000018,0.104719758,2.949606419
5.530291782,1.457707355,1.386999965,0.139626339,3.141592741
5.540949798,1.466657132,1.386999965,0.174532920,3.351032257
5.551283823,1.474330111,1.406000018,0.226892799,3.543018341
5.561880471,1.481165352,1.406000018,0.261799395,3.752457857
5.572302948,1.486863529,1.424999952,0.314159274,3.961897373
5.582760971,1.491555753,1.406000018,0.366519153,4.188790321
5.593478800,1.495295437,1.444000006,0.401425719,4.415682793
5.604362971,1.497982851,1.386999965,0.471238911,4.660028934
5.614801201,1.499507263,1.424999952,0.523598790,4.886921883
5.625273727,1.499999645,1.444000006,0.575958669,5.131268024
5.635718148,1.499455805,1.424999952,0.645771801,5.358160973
