t,tau_cmd,tau_meas,tau_pred,q,dq_raw,dq_filt,ddq
1.370976697,0.793424528,0.778999984,0.706282277,6.318091869,11.222467422,11.208564725,0.582189554
1.381510468,0.767993898,0.797999978,0.698574916,6.422811508,11.222467422,11.213395705,0.379792754
1.391963285,0.742459393,0.797999978,0.693587380,6.544984818,11.222467422,11.216547992,0.248803865
1.402470639,0.716501198,0.703000009,0.679156826,6.667157650,11.222467422,11.218604906,-0.126069827
1.412999182,0.690208757,0.740999937,0.658745636,6.789330959,11.205014229,11.213882348,-0.651856218
1.423662458,0.663302824,0.684000015,0.644863551,6.894050598,11.187560081,11.204735752,-1.005993696
1.434114296,0.636670279,0.664999962,0.624620046,7.016223431,11.170106888,11.192702737,-1.523174544
1.444642902,0.609592308,0.664999962,0.599967174,7.138396740,11.135200500,11.172721565,-2.149899104
1.455125429,0.582394316,0.607999980,0.583414355,7.243116379,11.100294113,11.147554103,-2.563851001
1.465596806,0.554998241,0.588999987,0.572825862,7.365289211,11.065387726,11.119002509,-2.821385207
1.476142499,0.527189236,0.588999987,0.553346969,7.487462521,11.030481339,11.088242719,-3.307845364
1.486506587,0.499656105,0.588999987,0.530353961,7.592182159,10.978120804,11.049976992,-3.880924864
1.497101601,0.471312472,0.513000011,0.505333831,7.714355469,10.925761223,11.006813860,-4.503639858
1.507725453,0.442702959,0.474999994,0.491367479,7.819075108,10.855947495,10.954390042,-4.834720396
1.518802487,0.412684176,0.474999994,0.480631988,7.941247940,10.803587914,10.901988546,-5.082151933
1.529578742,0.383307743,0.455999970,0.445641911,8.063421249,10.733775139,10.843536890,-5.954119011
1.540153687,0.354326268,0.417999983,0.422554794,8.168141365,10.646508217,10.775072357,-6.512023712
1.550678381,0.325342711,0.379999995,0.413941238,8.290313721,10.576695442,10.706139330,-6.694867406
1.561677048,0.294917262,0.398999989,0.390757067,8.395033836,10.489428520,10.630835548,-7.251296671
1.572839324,0.263909693,0.284999996,0.355762920,8.517207146,10.384709358,10.545310358,-8.107580025
1.583636764,0.233804292,0.303999990,0.322742218,8.621926308,10.279989243,10.453115218,-8.908871852
1.594056108,0.204661141,0.227999985,0.291827565,8.726646423,10.175269127,10.356567835,-9.653090088
1.604556117,0.175212537,0.246999994,0.276536212,8.831365585,10.053096771,10.251116155,-9.987555553
1.615148298,0.145435919,0.208999991,0.250658395,8.936085701,9.948376656,10.145918683,-10.596302020
